Category,Message
ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
ham,"Haha, just what I was thinkin"
ham,"It‘s reassuring, in this crazy world."
ham,No go. No openings for that room 'til after thanksgiving without an upcharge.
ham,"Just checked out, heading out to drop off my stuff now"
ham,Much better now thanks lol
ham,Yup ok...
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
ham,"The table's occupied, I'm waiting by the tree"
ham,Thats cool. i liked your photos. You are very sexy!
ham,Remember to ask alex about his pizza
ham,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff."
ham,How come u got nothing to do?
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
ham,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
ham,Actually i'm waiting for 2 weeks when they start putting ad.
ham,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else"
ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
ham,En chikku nange bakra msg kalstiya..then had tea/coffee?
ham,Headin towards busetop
ham,"K, I might come by tonight then if my class lets out early"
ham,PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS)
ham,Oh...i asked for fun. Haha...take care. ü
ham,Are you coming to day for class.
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
spam,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
ham,I dont thnk its a wrong calling between us
ham,"Yep, at derek's house now, see you Sunday &lt;3"
ham,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
ham,"Didn't try, g and I decided not to head out"
spam,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
ham,"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?"
ham,Great! How is the office today?
spam,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end
ham,Po de :-):):-):-):-). No need job aha.
ham,So how's the weather over there?
ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now."
ham,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.
ham,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.
ham,Dai i downloaded but there is only exe file which i can only run that exe after installing.
ham,Ok... But bag again..
ham,hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.
ham,Oh k...i'm watching here:)
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
ham,"Aight, can you text me the address?"
ham,"Haha... Sounds crazy, dunno can tahan anot..."
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,How dare you change my ring
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want"
ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
ham,"I'm in solihull, | do you want anything?"
ham,So what did the bank say about the money?
ham,Dunno lei... I thk mum lazy to go out... I neva ask her yet...
ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
ham,Same to u...
ham,"Nothing much, chillin at home. Any super bowl plan?"
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone
ham,I'm going for bath will msg you next  &lt;#&gt;  min..
ham,And popping &lt;#&gt; ibuprofens was no help.
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
ham,Happy New Year Princess!
ham,Do you want bold 2 or bb torch
ham,No. But we'll do medical missions to nigeria
ham,Have your lunch and come quickly and open the door:)
ham,How? Izzit still raining?
ham,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...
ham,Apps class varaya elaya.
ham,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?"
ham,"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!"
ham,Tell me something. Thats okay.
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
ham,TaKe CaRE n gET WeLL sOOn
spam,100 dating service cal;l 09064012103 box334sk38ch
ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
ham,Tell where you reached
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
ham,So ü'll be submitting da project tmr rite?
ham,How do you guys go to see movies on your side.
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
ham,Leave it. U will always be ignorant.
ham,Did u receive my msg?
ham,No..jst change tat only..
ham,I'm going out to buy mum's present ar.
ham,I dont know why she.s not getting your messages
ham,What's ur pin?
ham,Do I? I thought I put it back in the box
ham,And by when you're done I mean now
ham,"Babe, I'm back ... Come back to me ..."
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
ham,Umma my life and vava umma love you lot dear
ham,Right it wasnt you who phoned it was someone with a number like yours!
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
ham,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?
ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.."
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!
ham,I dun believe u. I thk u told him.
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
ham,Did he just say somebody is named tampa
ham,How come i din c ü... Yup i cut my hair...
ham,Tomarrow final hearing on my laptop case so i cant.
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!
ham,Here got lots of hair dresser fr china.
ham,India have to take lead:)
ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
ham,Haven't left yet so probably gonna be here til dinner
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-)
ham,"Yeah, probably earlier than that"
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …"
ham,Well I might not come then...
ham,Wif my family booking tour package.
ham,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
ham,Water logging in desert. Geoenvironmental implications.
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
ham,Sending you greetings of joy and happiness. Do have a gr8 evening
ham,"Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-)."
ham,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*
ham,Unni thank you dear for the recharge..Rakhesh
ham,Watching tv lor...
ham,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
ham,Remind me how to get there and I shall do so
ham,Oh... Kay... On sat right?
ham,Y lei?
ham,I've reached home n i bathe liao... U can call me now...
spam,08714712388 between 10am-7pm Cost 10p
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
ham,"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do."
ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
ham,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
ham,Hope youre not having too much fun without me!! see u tomorrow love jess x
ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.
ham,I can take you at like noon
ham,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola."
ham,K:)all the best:)congrats...
ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
ham,How much it will cost approx . Per month.
ham,Ok but tell me half an hr b4 u come i need 2 prepare.
ham,We have pizza if u want
ham,"Damn, poor zac doesn't stand a chance"
ham,what are your new years plans?
ham,Juz go google n search 4 qet...
ham,"Machan you go to gym tomorrow,  i wil come late goodnight."
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870."
ham,You are not bothering me but you have to trust my answers. Pls.
ham,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,I've sent ü my part..
ham,Ok lor wat time ü finish?
ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
spam,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
ham,Dont talk to him ever ok its my word.
ham,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon
ham,Dear :-/ why you mood off. I cant drive so i brother to drive
ham,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.
ham,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans
ham,Have you started in skye
ham,&lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla
ham,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!"
spam,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
ham,I'm coming home 4 dinner.
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
ham,Siva is in hostel aha:-.
ham,You should get more chicken broth if you want ramen unless there's some I don't know about
ham,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-"
ham,"Happy or sad , one thing about past is- ""Its no more"" GOOD MORNING :-):-)."
ham,Can... I'm free...
ham,Gibbs unsold.mike hussey
ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
ham,What * u wearing?
ham,Did u got that persons story
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham,Oh is it? Send me the address
ham,You can never do NOTHING
ham,You are gorgeous! keep those pix cumming :) thank you!
ham,Speak only when you feel your words are better than the silence... Gud mrng:-)
ham,My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:)
ham,Come by our room at some point so we can iron out the plan for this weekend
ham,Sent me de webadres for geting salary slip
ham,Ü eatin later but i'm eatin wif my frens now lei... Ü going home first?
ham,Networking job is there.
ham,Wait . I will msg after  &lt;#&gt;  min.
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time
ham,K do I need a login or anything
ham,get ready to moan and scream :)
ham,She.s find. I sent you an offline message to know how anjola's now.
ham,Tell rob to mack his gf in the theater
ham,You're gonna have to be way more specific than that
ham,Yeah I'll try to scrounge something up
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.
ham,Hey. You got any mail?
ham,Horrible gal. Me in sch doing some stuff. How come u got mc?
ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
ham,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*"
ham,here is my new address -apples&pairs&all that malarky
ham,I notice you like looking in the shit mirror youre turning into a right freak
spam,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3"
ham,That's the way you should stay oh.
ham,No no. I will check all rooms befor activities
ham,I am joining today formally.Pls keep praying.will talk later.
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
ham,Sent me ur email id soon
ham,"Well, i'm gonna finish my bath now. Have a good...fine night."
ham,No da if you run that it activate the full version da.
ham,* You gonna ring this weekend or wot?
ham,Midnight at the earliest
ham,In the end she might still vomit but its okay. Not everything will come out.
ham,I AM AT THE GAS STATION. GO THERE.
ham,Thx. All will be well in a few months
ham,Me too! Have a lovely night xxx
spam,URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50
ham,Lol I would but despite these cramps I like being a girl.
ham,Sounds great! Are you home now?
ham,I wonder if you'll get this text?
ham,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.
ham,Bring home some Wendy =D
ham,There's no point hangin on to mr not right if he's not makin u happy
ham,Check wid corect speling i.e. Sarcasm
ham,All e best 4 ur driving tmr :-)
ham,I see the letter B on my car
ham,Hi. I'm sorry i missed your call. Can you pls call back.
ham,I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.
ham,Okie...
ham,Ok then i'll let him noe later n ask him call u tmr...
ham,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is!
ham,We are okay. Going to sleep now. Later
ham,Dont gimme that lip caveboy
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
ham,Dare i ask... Any luck with sorting out the car?
spam,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182"
ham,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him
ham,"K, wait chikku..il send aftr  &lt;#&gt; mins"
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
spam,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+"
ham,have got * few things to do. may be in * pub later.
ham,Ok i've sent u da latest version of da project.
ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up..."
ham,"I've got  &lt;#&gt; , any way I could pick up?"
ham,Or remind me in a few hrs.
ham,Thats cool. Where should i cum? On you or in you? :)
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8
ham,Esplanade lor. Where else...
ham,"Sorry, was in the bathroom, sup"
ham,Ya very nice. . .be ready on thursday
spam,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
ham,"Awesome, think we can get an 8th at usf some time tonight?"
ham,Hey are you angry with me. Reply me dr.
ham,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!"
ham,What type of stuff do you sing?
spam,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
ham,"That's fine, have him give me a call if he knows what he wants or has any questions"
ham,No it will reach by 9 only. She telling she will be there. I dont know
ham,Mum not going robinson already.
ham,Will purchase d stuff today and mail to you. Do you have a po box number?
ham,PICK UR FONE UP NOW U DUMB?
ham,"Aight I'll grab something to eat too, text me when you're back at mu"
ham,Hi msg me:)i'm in office..
ham,If You mean the website. Yes.
ham,"Its ok, if anybody asks abt me, u tel them..:-P"
ham,Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.
ham,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...
spam,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate"
spam,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+"
ham,"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min"
ham,"Sir, I need AXIS BANK account no and bank address."
ham,Is fujitsu s series lifebook good?
ham,Not able to do anything.
ham,"Greetings me, ! Consider yourself excused."
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
ham,I think u have the wrong number.
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
ham,I doubt you could handle 5 times per night in any case...
ham,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... "" I will be with YOU "" Wherevr.. Whenevr.. Forevr... Gudnyt dear.."
ham,7 lor... Change 2 suntec... Wat time u coming?
ham,He remains a bro amongst bros
ham,Then why you came to hostel.
ham,You call him now ok i said call him
ham,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
ham,at bruce b downs &amp; fletcher now
ham,None of that's happening til you get here though
ham,I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book
ham,So when do you wanna gym harri
ham,"HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX"
ham,I need details about that online job.
ham,"Aight, I'll ask a few of my roommates"
ham,Yes i will be there. Glad you made it.
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
ham,"K so am I, how much for an 8th? Fifty?"
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
ham,Waiting for your call.
ham,Your dad is back in ph?
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
spam,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???
ham,K:)k:)good:)study well.
ham,As usual u can call me ard 10 smth.
spam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw
ham,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
ham,Where do you need to go to get it?
ham,There is a first time for everything :)
ham,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
ham,It's ok lar. U sleep early too... Nite...
ham,Hey they r not watching movie tonight so i'll prob b home early...
ham,We'll join the  &lt;#&gt;  bus
ham,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?
ham,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.
ham,I will be outside office take all from there
ham,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home"
ham,Where r we meeting?
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
ham,I know you are serving. I mean what are you doing now.
ham,Unless it's a situation where YOU GO GURL would be more appropriate
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?
ham,U call me alter at 11 ok.
ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must."
ham,Customer place i will call you.
ham,Anything lor is she coming?
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,Then anything special?
ham,Be happy there. I will come after noon
ham,Do u knw dis no. &lt;#&gt; ?
ham,* Will be september by then!
ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon
ham,How would my ip address test that considering my computer isn't a minecraft server
ham,Don no da:)whats you plan?
ham,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks."
ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
ham,Nite...
ham,Well good morning mr . Hows london treatin' ya treacle?
ham,Die... Now i have e toot fringe again...
ham,Kallis is ready for bat in 2nd innings
ham,Nan sonathaya soladha. Why boss?
ham,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?
ham,My battery is low babe
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
ham,"Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
ham	Yeah, give me a call if you've got a minute
ham	HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS  FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,IL CALL U"""
ham,Life style garments account no please.
ham,Come to medical college at 7pm ......forward it da
ham,Well i know Z will take care of me. So no worries.
ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
ham,Loosu go to hospital. De dont let it careless.
ham,"Nope. Since ayo travelled, he has forgotten his guy"
ham,Que pases un buen tiempo or something like that
ham,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
ham,Its like that hotel dusk game i think. You solve puzzles in a area thing
ham,Pls go there today  &lt;#&gt; . I dont want any excuses
ham,Yes da. Any plm at ur office
ham,Wanna do some art?! :D
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed."
ham,Kothi print out marandratha.
spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,I'm done. C ü there.
ham,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is
ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
ham,There the size of elephant tablets & u shove um up ur ass!!
ham,Still work going on:)it is very small house.
ham,Mm yes dear look how i am hugging you both. :-P
ham,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?
ham,"Yes..but they said its IT.,"
spam,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
spam,"Auction round 4. The highest bid is now £54. Next maximum bid is £71. To bid, send BIDS e. g. 10 (to bid £10) to 83383. Good luck."
ham,I not at home now lei...
ham,Going to take your babe out ?
ham,I know girls always safe and selfish know i got it pa. Thank you. good night.
ham,I'm already back home so no probably not
ham,Wat happened to the cruise thing
ham,I dont. Can you send it to me. Plus how's mode.
ham,Really? I crashed out cuddled on my sofa.
ham,Now am free call me pa.
ham,Haha i think i did too
ham,That is wondar full flim.
ham,"Oh... Icic... K lor, den meet other day..."
